City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income,log_price
Toronto,899000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,924900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.966094779446171
Toronto,1274900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.105476121121821
Toronto,699000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8444771757456815
Toronto,935000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.970811610872518
Toronto,655000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.816241299991783
Toronto,699000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8444771757456815
Toronto,569900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.75579865697383
Toronto,625000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.795880017344075
Toronto,639900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.806112110169091
Toronto,1124900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,6.051113916777601
Toronto,3088000.0,4,5,ON,5647656,43.7417,-79.3733,97000.0,6.489677291663699
Toronto,2150000.0,6,2,ON,5647656,43.7417,-79.3733,97000.0,6.332438459915605
Toronto,999800.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.999913132416571
Toronto,999000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.999565488225983
Toronto,599000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.7774268223893115
Toronto,549000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.739572344450092
Toronto,639000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8055008581584
Toronto,1150000.0,7,5,ON,5647656,43.7417,-79.3733,97000.0,6.060697840353612
Toronto,1895000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.277609214304091
Toronto,3679000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0,6.565729787831127
Toronto,669990.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.82606832064526
Toronto,899000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,1300000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.113943352306837
Toronto,859000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.933993163831242
Toronto,669000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.825426117767823
Toronto,639000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.8055008581584
Toronto,1599900.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.204092838402539
Toronto,829900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.91902576458736
Toronto,1995000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0,6.299942900022767
Toronto,1075000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,6.031408464251625
Toronto,2499900.0,5,5,ON,5647656,43.7417,-79.3733,97000.0,6.397922636545316
Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.69810054562339
Toronto,2649999.0,5,4,ON,5647656,43.7417,-79.3733,97000.0,6.423245710052067
Toronto,1350000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.1303337684950066
Toronto,650000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.812913356642856
Toronto,1249900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.096875268059688
Toronto,709000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.850646235183066
Toronto,889000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.948901760970213
Toronto,499000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.69810054562339
Toronto,619900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.7923216363515735
Toronto,1349888.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.130297736643314
Toronto,799990.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.903084558276991
Toronto,979000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,5.990782691803138
Toronto,4499000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0,6.653115993165567
Toronto,635000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.802773725291976
Toronto,949888.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.977672401236788
Toronto,765000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.883661435153617
Toronto,1499999.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,6.17609096952593
Toronto,560000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.748188027006201
Toronto,770000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.886490725172482
Toronto,1499999.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.17609096952593
Toronto,849900.0,2,3,ON,5647656,43.7417,-79.3733,97000.0,5.9293678292401
Toronto,1649000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.217220655644518
Toronto,1688000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0,6.227372442289636
Toronto,1450000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.161368002234975
Toronto,1200000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.079181246047625
Toronto,949000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,5.977266212427293
Toronto,1099000.0,8,5,ON,5647656,43.7417,-79.3733,97000.0,6.040997692423491
Toronto,1495000.0,2,4,ON,5647656,43.7417,-79.3733,97000.0,6.174641192660449
Toronto,698888.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.844407583643772
Toronto,5678000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0,6.754195388189839
Toronto,438000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.6414741105041
Toronto,559000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.747411807886423
Toronto,2099800.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.322177931384976
Toronto,770000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.886490725172482
Toronto,2695000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.430558769522758
Toronto,2295000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.36078268987328
Toronto,870000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.939519252618618
Toronto,966000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.984977126415493
Toronto,1399999.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.146127725467783
Toronto,1499000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.175801632848279
Toronto,549900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.740283719681879
Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.69810054562339
Toronto,1099900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.041353202046975
Toronto,499999.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.698969135746187
Toronto,650000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.812913356642856
Toronto,1099000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.040997692423491
Toronto,819000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.913283901760418
Toronto,899000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,1499900.0,5,3,ON,5647656,43.7417,-79.3733,97000.0,6.176062305125079
Toronto,849000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.928907690243952
Toronto,580000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.763427993562937
Toronto,825000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.9164539485499255
Toronto,1299800.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.1138765326310525
Toronto,615000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.788875115775417
Toronto,599000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.7774268223893115
Toronto,1095000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,6.039414119176137
Toronto,899000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
