,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
80,Toronto,699000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
81,Toronto,569900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
82,Toronto,625000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
83,Toronto,639900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
84,Toronto,1124900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
85,Toronto,3088000.0,4,5,ON,5647656,43.7417,-79.3733,97000.0
86,Toronto,2150000.0,6,2,ON,5647656,43.7417,-79.3733,97000.0
87,Toronto,999800.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
88,Toronto,999000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
89,Toronto,599000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
90,Toronto,549000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
91,Toronto,639000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
92,Toronto,1150000.0,7,5,ON,5647656,43.7417,-79.3733,97000.0
93,Toronto,1895000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
94,Toronto,3679000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0
95,Toronto,669990.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
96,Toronto,899000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
97,Toronto,1300000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
98,Toronto,859000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
99,Toronto,669000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
100,Toronto,639000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
101,Toronto,1599900.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
102,Toronto,829900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
103,Toronto,1995000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0
104,Toronto,1075000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
105,Toronto,2499900.0,5,5,ON,5647656,43.7417,-79.3733,97000.0
106,Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
107,Toronto,2649999.0,5,4,ON,5647656,43.7417,-79.3733,97000.0
108,Toronto,1350000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
109,Toronto,650000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
110,Toronto,1249900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
